time,Throttle,Aileron,Elevator,Rudder,Mode,x,y,z,x_s,y_s,z_s,vx,vy,vz,speed_xy,speed_3d,chi_deg,quat_x,quat_y,quat_z,quat_w,phi_deg,theta_deg
134.1800269,0.397,-0.19,-0.176,0.0,1.0,-5.322827148,-5.051706055,3.486498291,-5.322294551557125,-5.05182244554547,3.4873133137179577,0.18106786579293518,-4.3117856716700285,-2.406527533017819,4.315585852516639,4.941220094026838,-87.59535064693081,0.055300799,0.28836333,-0.690724487,0.660823805,-21.456827534851982,27.226544510213326
134.1911399,0.397,-0.19,-0.176,0.0,1.0,-5.320462402,-5.094675781,3.463953613,-5.3203495248508315,-5.094579208603747,3.4637653642121298,0.21586650071696414,-4.330606029083092,-2.3498280147809743,4.335982809613365,4.9317784443658965,-87.14635530874811,0.062952528,0.268438194,-0.690713935,0.668499959,-18.67837019074586,26.47877203009912
134.2000794,0.397,-0.19,-0.176,0.0,1.0,-5.318178711,-5.137973633,3.440236328,-5.318064195722625,-5.1379007036899935,3.4405175825291465,0.25285438703062646,-4.402924221020691,-2.3144213431067087,4.4101787987667,4.980584623366934,-86.71318581597579,0.062645174,0.261677372,-0.688775564,0.673192968,-17.894354904286022,26.015587932869312
134.210019,0.397,-0.19,-0.176,0.0,1.0,-5.315318359,-5.181792969,3.417520996,-5.31541309159675,-5.18175549626342,3.4177724812494263,0.2883125776933824,-4.454269897181886,-2.259516065156396,4.463590982538267,5.0029048869728445,-86.29656879048945,0.062790366,0.248331607,-0.687638009,0.679369383,-16.43117001626032,25.072951062109514
134.2199996,0.519,-0.736,-0.476,0.0,1.0,-5.312314453,-5.226111816,3.395845703,-5.312370859256425,-5.226173715372977,3.395643454370638,0.32592624697393274,-4.544054067302011,-2.2110615437892442,4.555727744831825,5.063936061548777,-85.8974358953788,0.063617637,0.234009975,-0.686672859,0.685326564,-14.863281886371572,24.086509503508374
134.229923,0.519,-0.736,-0.476,0.0,1.0,-5.308860352,-5.27110791,3.374354492,-5.308929588533815,-5.271159562074609,3.3742473940769315,0.3474941190386181,-4.506028768411561,-2.11516975802161,4.519407862156173,4.989888829399732,-85.59021508413947,0.064658353,0.219913231,-0.685359671,0.691187093,-13.330820245307809,23.11829641454297
134.2399569,0.519,-0.736,-0.476,0.0,1.0,-5.305313965,-5.316664551,3.353399658,-5.305231964324024,-5.316607141976707,3.3535882930746004,0.37168019757404,-4.491744892360719,-2.0106537879004893,4.5070964430903055,4.935245384184648,-85.26970007569236,0.065209416,0.206417889,-0.683634197,0.696981837,-11.920955062675647,22.141657678790896
134.24989,0.519,-0.736,-0.476,0.0,1.0,-5.30140625,-5.362717285,3.333369141,-5.301258787955726,-5.362679620445238,3.333610559962713,0.41115970275603103,-4.679869608315766,-1.986735971155989,4.697896534834285,5.10072070114539,-84.97905201241524,0.066688158,0.192381824,-0.682041911,0.702396438,-10.425715251249148,21.175437497580585
134.2603323,0.519,-0.736,-0.476,0.0,1.0,-5.29697998,-5.409388184,3.314313965,-5.297088942370644,-5.40941163256412,3.314167681431244,0.44697190790303787,-4.88040364122328,-1.97598806576652,4.900828867418238,5.284188908789281,-84.7671624978437,0.071807664,0.182196846,-0.68038228,0.706206716,-9.016295299975178,20.79654529032534
134.2696957,0.519,-0.736,-0.476,0.0,1.0,-5.292746094,-5.456730469,3.294959229,-5.292719633193487,-5.456759139792558,3.295270420254088,0.4796812820941599,-5.048459875312905,-1.9483861497032755,5.071197220088752,5.432609854700726,-84.57231475321082,0.069116977,0.166170386,-0.677723077,0.712952794,-7.714075287123037,19.30687386031905
134.282656,0.519,-0.736,-0.476,0.0,1.0,-5.28768457,-5.504187012,3.278609375,-5.288131882428919,-5.5046801633496685,3.277139845440568,0.5024909711140145,-5.119946445735348,-1.8890285131998683,5.14454553709549,5.4803993930124495,-84.39472585117404,0.072784354,0.144315066,-0.675010414,0.719886486,-5.426754630871135,17.820823272783148
134.2898657,0.519,-0.736,-0.476,0.0,1.0,-5.283419434,-5.553212402,3.259150146,-5.283302877652695,-5.553099257615402,3.259704698641034,0.5281254256603688,-5.182351388415749,-1.8136829535368626,5.209192104179264,5.515897772275497,-84.18116363913697,0.065460885,0.162411022,-0.674894309,0.716836947,-7.607495823309264,18.73568063407731
134.3005085,0.519,-0.736,-0.476,0.0,1.0,-5.278412109,-5.602297363,3.242751953,-5.2782138534592224,-5.602009569703981,3.243070340944064,0.5563940182826315,-5.228468936763511,-1.7202235917334243,5.257990274456739,5.532235617888838,-83.92565905337507,0.072710906,0.144219228,-0.672707179,0.722065773,-5.366110297187114,17.824224564892766
134.3098733,0.519,-0.736,-0.476,0.0,1.0,-5.273087402,-5.651432129,3.227084473,-5.272884374030317,-5.651321972918431,3.227361466310032,0.5752577699954491,-5.1742373191870685,-1.5882668458291278,5.206116915437869,5.4429996243586425,-83.65606179942876,0.071592966,0.132823115,-0.670181694,0.726697298,-4.4320049796532395,16.798395512457947
134.3204941,0.519,-0.736,-0.476,0.0,1.0,-5.267239746,-5.700999023,3.212859131,-5.267223530319361,-5.700989951960391,3.212837194524484,0.5913687921294606,-5.105353966486533,-1.4489264467971463,5.139489874630013,5.339826216240809,-83.39270002322814,0.071476167,0.119267316,-0.667360522,0.731639521,-3.250628553740904,15.659632044455167
134.3308458,0.605,-1.0,-0.616,0.0,1.0,-5.261306641,-5.75077832,3.199041748,-5.261338755703977,-5.750975588132885,3.1992036753123627,0.5996898886629096,-4.978748917999099,-1.2801832838539566,5.014735162602482,5.175561611197459,-83.13181559475166,0.070663806,0.109201564,-0.664405633,0.735966575,-2.4356146079566194,14.752033140207526
134.3399288,0.605,-1.0,-0.616,0.0,1.0,-5.255022461,-5.801188965,3.186981689,-5.255095147783233,-5.801065196317035,3.1871225074102645,0.6169693381710892,-4.98525256487874,-1.164461793381794,5.023285209887383,5.156487716277357,-82.94501050961331,0.069792672,0.095215661,-0.6612044,0.740858763,-1.3259417321620508,13.495980978575266
