# t V alpha gamma Q delta_T delta_e
18.62500000 28.33553821 0.06186850 10.07914874 2.07100058 6.90361261 -0.07332923
18.68750000 28.71444564 0.06606974 10.20689938 2.13999616 6.83710180 -0.07694771
18.75000000 29.12470000 0.07081868 10.33869126 2.21626022 6.76831116 -0.08081761
18.81250000 29.55667133 0.07599798 10.47502543 2.29784904 6.69850333 -0.08484463
18.87500000 29.99941593 0.08147897 10.61629060 2.38277753 6.62897753 -0.08893065
18.93750000 30.44066413 0.08713140 10.76274554 2.46883954 6.56104108 -0.09297613
19.00000000 30.86692874 0.09282328 10.91450380 2.55355342 6.49598069 -0.00961603
19.06250000 31.31009435 0.04978869 11.05363666 0.72030805 6.43503401 -0.01328811
19.12500000 31.86529032 0.01122812 11.13515272 0.77537208 6.37936223 -0.01663643
19.18750000 32.43219338 0.01111180 11.19429162 1.10689652 6.33002430 -0.01957941
19.25000000 32.96791391 0.01956228 11.25989142 1.23387026 6.28795346 -0.02204535
19.31250000 33.46529680 0.02430509 11.33376918 1.26707478 6.25393655 -0.02397417
19.37500000 33.92635740 0.02666195 11.41180972 1.29874957 6.22859669 -0.02531887
19.43750000 34.35051457 0.02849105 11.49230393 1.33046098 6.21237967 -0.02604669
19.50000000 34.73555171 0.02989417 11.57474558 1.34888623 6.20554439 -0.02613990
19.56250000 35.07988888 0.03061635 11.65844313 1.35114811 6.20815761 -0.02559622
19.62500000 35.38288819 0.03059987 11.74247469 1.33837561 6.22009305 -0.02442891
19.68750000 35.64462817 0.02987662 11.82589492 1.31124761 6.24103495 -0.02266640
19.75000000 35.86585532 0.02848087 11.90779419 1.27030544 6.27048598 -0.02035164
19.81250000 36.04798732 0.02645342 11.98730487 1.21655877 6.30777924 -0.01754102
